BuildID,Name,CoreTags,GameplayFantasy,RecommendedRoles,RecommendedWeapons,RecommendedRelics,Difficulty,StarterFriendly,Note
BUILD_QUAKE,震地清屏流,AOE|Blunt,大范围多段震荡，适合密集普通鼠,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_CHAIN,电链传导流,Shock|Chain,感电扩散、连锁跳电、感电处决,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_EXEC,终审处决流,Execute|Control,低血自动处决、精英压制,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_MINT,铸币暴富流,Gold|Economy,金币转伤害、稀有鼠狩猎、利息型收益,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_HIVE,无人机工厂流,Automation|Drone,高频自动索敌与洞口设施协同,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_BURN,爆燃炼金流,Fire|Explosive,灼烧堆叠与击杀连爆,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,1,发行前推荐重点打磨流派
BUILD_FROST,冻控压制流,Frost|Control,减速冻结并放大易伤,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,0,发行前推荐重点打磨流派
BUILD_CRIT,暴击斩杀流,Crit|Boss,暴击、高伤和精英/Boss对策,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Normal,0,发行前推荐重点打磨流派
BUILD_ORBIT,环绕锯盘流,Orbit|AOE,持续接触伤害+近场收割,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_TOTEM,图腾增幅流,Totem|Aura,站场设施和范围光环扩张,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_TANK,堡垒续航流,Defense|Shield,偏高难和Boss稳定通关,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_GAMBLE,赌运奇迹流,Risk|Gold,不稳定但爆发收益极高,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_SPLIT,分裂收割流,AOE|OnKill,击杀裂变和溢出传播,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_RARE,稀有猎人流,RareTarget|Economy,传奇/宝箱目标收益最大化,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_COMBO,连击狂热流,Combo|Speed,高频命中维持全局狂热,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
BUILD_SIEGE,攻城打桩流,Pierce|Boss,单体爆发和穿透,ROLE_BLACKSMITH|ROLE_ENGINEER|ROLE_BOUNTY,WPN_WOOD|WPN_IRON|WPN_THUNDER,RELIC_ANVIL_01|RELIC_MINT_02,Hard,0,发行前推荐重点打磨流派
