FacilityID,Name,Rarity,Theme,Trigger,Target,IntervalSec,PowerA,Radius,RiskBonus,CanStack,Description
FAC_AUTO_01,自动锤塔·01,Common,Automation,Periodic,Enemy,0.8,0.18,3,0,0,定时敲击附近洞口
FAC_EXEC_02,终审压板·02,Common,Execute,Periodic,Enemy,0.9,0.21,4,0,1,低血自动处决
FAC_MINT_03,铸币吸附器·03,Common,Gold,Aura,Drop,1,0.24,5,0,1,金币自动吸附与收益加成
FAC_TESLA_04,电网耦合器·04,Common,Shock,OnHit,Enemy,1.1,0.27,6,0,0,命中后向邻洞传导
FAC_BOOST_05,洞口增压器·05,Common,Spawn,Aura,Hole,1.2,0.18,7,0.15,1,提高洞口刷新与风险
FAC_SCANNER_06,宝物扫描器·06,Common,Rare,Aura,Hole,0.8,0.21,3,0,1,提高稀有和宝箱鼠出现率
FAC_SHIELD_07,防护立场·07,Common,Defense,Aura,Self,0.9,0.24,4,0,0,提供护盾与减伤
FAC_FREEZE_08,低温喷头·08,Uncommon,Frost,Periodic,Enemy,1,0.27,5,0,1,定期减速冻结
FAC_AUTO_09,自动锤塔·09,Uncommon,Automation,Periodic,Enemy,1.1,0.18,6,0,1,定时敲击附近洞口
FAC_EXEC_10,终审压板·10,Uncommon,Execute,Periodic,Enemy,1.2,0.21,7,0,0,低血自动处决
FAC_MINT_11,铸币吸附器·11,Uncommon,Gold,Aura,Drop,0.8,0.24,3,0,1,金币自动吸附与收益加成
FAC_TESLA_12,电网耦合器·12,Uncommon,Shock,OnHit,Enemy,0.9,0.27,4,0,1,命中后向邻洞传导
FAC_BOOST_13,洞口增压器·13,Uncommon,Spawn,Aura,Hole,1,0.18,5,0.15,0,提高洞口刷新与风险
FAC_SCANNER_14,宝物扫描器·14,Uncommon,Rare,Aura,Hole,1.1,0.21,6,0,1,提高稀有和宝箱鼠出现率
FAC_SHIELD_15,防护立场·15,Rare,Defense,Aura,Self,1.2,0.24,7,0,1,提供护盾与减伤
FAC_FREEZE_16,低温喷头·16,Rare,Frost,Periodic,Enemy,0.8,0.27,3,0,0,定期减速冻结
FAC_AUTO_17,自动锤塔·17,Rare,Automation,Periodic,Enemy,0.9,0.18,4,0,1,定时敲击附近洞口
FAC_EXEC_18,终审压板·18,Rare,Execute,Periodic,Enemy,1,0.21,5,0,1,低血自动处决
FAC_MINT_19,铸币吸附器·19,Rare,Gold,Aura,Drop,1.1,0.24,6,0,0,金币自动吸附与收益加成
FAC_TESLA_20,电网耦合器·20,Rare,Shock,OnHit,Enemy,1.2,0.27,7,0,1,命中后向邻洞传导
FAC_BOOST_21,洞口增压器·21,Rare,Spawn,Aura,Hole,0.8,0.18,3,0.15,1,提高洞口刷新与风险
FAC_SCANNER_22,宝物扫描器·22,Epic,Rare,Aura,Hole,0.9,0.21,4,0,0,提高稀有和宝箱鼠出现率
FAC_SHIELD_23,防护立场·23,Epic,Defense,Aura,Self,1,0.24,5,0,1,提供护盾与减伤
FAC_FREEZE_24,低温喷头·24,Epic,Frost,Periodic,Enemy,1.1,0.27,6,0,1,定期减速冻结
FAC_AUTO_25,自动锤塔·25,Epic,Automation,Periodic,Enemy,1.2,0.18,7,0,0,定时敲击附近洞口
FAC_EXEC_26,终审压板·26,Epic,Execute,Periodic,Enemy,0.8,0.21,3,0,1,低血自动处决
FAC_MINT_27,铸币吸附器·27,Epic,Gold,Aura,Drop,0.9,0.24,4,0,1,金币自动吸附与收益加成
FAC_TESLA_28,电网耦合器·28,Epic,Shock,OnHit,Enemy,1,0.27,5,0,0,命中后向邻洞传导
FAC_BOOST_29,洞口增压器·29,Legendary,Spawn,Aura,Hole,1.1,0.18,6,0.15,1,提高洞口刷新与风险
FAC_SCANNER_30,宝物扫描器·30,Legendary,Rare,Aura,Hole,1.2,0.21,7,0,1,提高稀有和宝箱鼠出现率
FAC_SHIELD_31,防护立场·31,Legendary,Defense,Aura,Self,0.8,0.24,3,0,0,提供护盾与减伤
FAC_FREEZE_32,低温喷头·32,Legendary,Frost,Periodic,Enemy,0.9,0.27,4,0,1,定期减速冻结
